
1104|1251|1154|0.7

1103|1251|1152|0.9

1102|1251|1152|0.5

1203|1202|1252|0.9

1302|1251|1353|0.5

1604|1103|5101|0.7

1621|1604|5101|0.5

1605|1621|5101|0.5

1201|1604|5101|0.55

1606|1607|5102|0.8

1608|1607|5102|0.8

1613|1151|5101|0.5

1613|1608|5101|0.5

1618|1608|5102|0.8

1613|1618|5102|0.8

1615|1605|5103|0.6

1603|1605|5103|0.6

1501|1605|5103|0.6

1701|1605|5103|0.65

1701|1615|5103|0.65

1614|1615|5101|0.6

1612|1604|5101|0.65

1623|1604|5101|0.6

1624|1604|5101|0.55

1701|1603|5101|0.8

1616|1603|5101|0.65

1615|1603|5103|0.8

1616|1603|5103|0.7

1622|1607|5103|0.8

1610|1615|5103|0.67

1152|1601|5107|0.39999998

1152|1601|5108|0.39999998

1152|1601|5109|0.39999998

1152|1602|5109|0.45

1152|1602|5108|0.45

1152|1602|5107|0.45

1152|1603|5107|0.45

1152|1603|5108|0.45

1152|1603|5109|0.45

1152|1605|5109|0.45

1152|1605|5108|0.45

1152|1605|5107|0.45

1152|1606|5107|0.45

1152|1606|5108|0.45

1152|1606|5109|0.45

1152|1607|5109|0.45

1152|1607|5108|0.45

1152|1607|5107|0.45

1152|1608|5107|0.45

1152|1608|5108|0.45

1152|1608|5109|0.45

1152|1610|5109|0.45

1152|1610|5108|0.45

1152|1610|5107|0.45

1602|1615|5107|0.65000004

1602|1615|5108|0.65000004

1602|1615|5109|0.65000004

1602|1616|5109|0.65000004

1602|1616|5108|0.65000004

1602|1616|5107|0.65000004

1602|1610|5107|0.55

1602|1610|5108|0.55

1602|1610|5109|0.55

1605|1610|5107|0.55

1605|1611|5107|0.7

1620|1604|5104|0.8

1620|1605|5104|0.5

1601|1617|5104|0.5

1604|1623|5104|0.5

1604|1605|5104|0.5

1602|1609|5106|0.8

1602|1615|5106|0.8

1602|1701|5106|0.8

1603|1701|5106|0.5

1603|1615|5106|0.3

1611|1622|5105|0.8

1601|1616|5105|0.3

1611|1605|5105|0.8

1611|1251|5105|0.5

1611|1701|5105|0.5

1602|1609|5111|0.8

1602|1615|5111|0.5

1605|1615|5111|0.3

1605|1609|5111|0.3

1603|1615|5112|0.5

1603|1251|5110|0.5

1603|1608|5110|0.5

1615|1603|5110|0.5
